,set_num,name,year,theme_id,num_parts
565,10701-1,Gray Baseplate,2015,621,1
566,10702-1,Creative Building Set,2016,621,583
567,10703-1,Creative Builder Box,2017,621,502
568,10704-1,Creative Box,2017,621,900
569,10705-1,Creative Building Basket,2016,621,1000
570,10706-1,Blue Creative Box,2017,621,78
571,10707-1,Red Creative Box,2017,621,55
572,10708-1,Green Creative Box,2017,621,66
573,10709-1,Orange Creative Box,2017,621,60
574,107-1,4.5V Motor Set,1976,473,31
575,1071-1,Bricks 2 x 2 and 2 x 4,1986,516,56
576,10712-1,Bricks and Gears,2018,621,244
577,10713-1,Creative Suitcase,2018,621,218
578,10714-1,Blue Baseplate,2018,621,1
579,10715-1,Bricks on a Roll,2018,621,442
580,10717-1,Bricks Bricks Bricks,2018,621,1500
581,107-2,Canada Post Mail Truck,1985,67,138
582,10720-1,Police Helicopter Chase,2016,591,63
583,10721-1,Iron Man vs. Loki,2016,596,66
584,10722-1,Snake Showdown,2016,597,92
585,10723-1,Ariel's Dolphin Carriage,2016,593,70
586,10724-1,Batman & Superman vs. Lex Luthor,2016,592,164
587,10725-1,Lost Temple,2016,597,172
588,10726-1,Stephanie's Horse Carriage,2016,595,58
589,10727-1,Emma's Ice Cream Truck,2016,595,136
590,10728-1,Mia's Vet Clinic,2016,595,182
591,10729-1,Cinderella's Carriage,2016,593,116
592,107-3,4.5V Reversible Power Unit,1971,371,24
593,10730-1,Lightning McQueen Speed Launcher,2017,615,47
594,10731-1,Cruz Ramirez Race Simulator,2017,615,59
595,10732-1,Guido and Luigi's Pit Stop,2017,615,75
596,10733-1,Mater's Junkyard,2017,615,62
597,10734-1,Demolition Site,2017,591,175
598,10735-1,Police Truck Chase,2017,591,90
599,10736-1,Anna & Elsa's Frozen Playground,2017,591,94
600,10737-1,Batman vs. Mr. Freeze,2017,592,64
601,10738-1,Snow White's Forest Cottage,2017,593,67
602,10739-1,Shark Attack,2017,597,108
603,10740-1,Fire Patrol Suitcase,2017,591,116
604,10742-1,Willy's Butte Speed Training,2017,615,95
605,10743-1,Smokey's Garage,2017,615,124
606,10744-1,Thunder Hollow Crazy 8 Race,2017,615,191
607,10745-1,Florida 500 Race Final,2017,615,266
608,10746-1,Mia's Farm Suitcase,2017,595,106
609,10747-1,Andrea and Stephanie's Beach Holiday,2017,595,144
610,10748-1,Emma's Pet Party,2018,595,67
611,10749-1,Mia's Organic Food Market,2018,595,115
612,10750-1,Road Repair Truck,2018,591,73
613,1075-1,LEGO People Supplementary Set,1980,511,256
614,10751-1,Mountain Police Chase,2018,591,115
615,10753-1,The Joker Batcave Attack,2018,592,151
616,10754-1,Spider-Man vs. Scorpion Street Showdown,2018,596,125
617,10755-1,Zane's Ninja Boat Pursuit,2018,597,132
618,10756-1,Pteranodon Escape,2018,620,84
619,10757-1,Raptor Rescue Truck,2018,620,85
620,10758-1,T. Rex Breakout,2018,620,150
621,10759-1,Elastigirl's Rooftop Pursuit,2018,591,95
622,10760-1,Underminer Bank Heist,2018,591,149
623,1076-1,Advent Calendar 1999,1999,207,229
624,10761-1,The Great Home Escape,2018,591,178
625,10762-1,Belle's Story Time,2018,593,87
626,10763-1,Stephanie's Lakeside House,2018,595,215
627,10764-1,City Central Airport,2018,591,376
628,10765-1,Ariel's Underwater Concert,2018,593,92
629,10766-1,Woody & RC,2019,275,69
630,10767-1,Duke Caboom's Stunt Show,2019,275,120
631,10768-1,Buzz and Bo Peep's Playground Adventure,2019,275,139
632,10769-1,Toy Story 4 RV Vacation,2019,275,178
633,10770-1,Buzz & Woody's Carnival Mania!,2019,275,230
634,1077-1,Supplementary Set,1976,528,172
635,10771-1,Carnival Thrill Coaster,2019,275,98
636,10772-1,Mickey Mouse's Propeller Plane,2021,608,59
637,10773-1,Minnie Mouse's Ice Cream Shop,2021,608,100
638,10774-1,Mickey Mouse & Minnie Mouse's Space Rocket,2021,608,88
639,10775-1,Mickey Mouse & Donald Duck's Farm,2021,608,118
640,10776-1,Mickey & Friends Fire Truck & Station,2021,608,144
641,10777-1,Mickey and Minnie's Camping Trip,2022,608,103
642,10778-1,"Mickey, Minnie and Goofy at the Carnival",2022,608,184
643,10780-1,Mickey's Castle Adventures,2022,608,216
644,1078-1,Animal Mosaic Puzzle,1987,516,80
645,10781-1,Spider-Man’s Techno Trike,2022,706,59
646,10782-1,Hulk vs. Rhino Truck Showdown,2022,706,110
647,10783-1,Spider-Man at Doc Ock’s Lab,2022,706,131
648,10784-1,Spider-Man Webquarters Hangout,2022,706,155
649,1079-1,Animal Mosaic Puzzle,1987,516,80
650,10801-1,Baby Animals,2016,504,13
651,10802-1,Savanna,2016,632,18
652,10803-1,Arctic,2016,504,40
653,10804-1,Jungle,2016,632,86
654,10805-1,Around the World,2016,504,163
655,10806-1,Horses,2016,632,20
656,10807-1,Horse Trailer,2016,632,15
657,10808-1,Little Plane,2016,632,13
658,10809-1,Police Patrol,2016,632,15
659,108-1,Battery Box,1976,235,1
660,10810-1,Push Train,2016,634,45
661,10811-1,Backhoe Loader,2016,632,19
662,10812-1,Truck & Tracked Excavator,2016,632,26
663,10813-1,Big Construction Site,2016,632,67
664,10814-1,Tow Truck,2016,632,28
665,10815-1,My First Rocket,2016,504,21
666,10816-1,My First Cars and Trucks,2016,504,39
667,10817-1,Creative Chest,2016,504,73
668,10818-1,My First Truck,2016,632,29
669,10819-1,My First Garden,2016,632,25
670,10820-1,Creative Building Basket,2016,504,110
671,10822-1,Sofia’s Magical Carriage,2016,639,30
672,10823-1,Batwing Adventure,2017,653,28
673,10824-1,Miles' Space Adventures,2016,629,23
674,10825-1,Miles' Exo-Flex Suit,2016,629,37
675,10826-1,Miles' Stellosphere Hangar,2016,629,44
676,10827-1,Mickey & Friends Beach House,2016,641,48
677,10828-1,Doc's Pet Vet Care,2016,648,30
678,10829-1,Mickey's Workshop,2016,641,18
679,10830-1,Minnie's Cafe,2016,641,27
680,1083-1,Supplementary Pack,1986,534,106
681,10831-1,My First Caterpillar,2016,504,22
682,10832-1,Birthday Picnic,2017,636,19
683,10833-1,Preschool,2017,636,39
684,10834-1,Pizzeria,2017,636,57
685,10835-1,Family House,2017,636,69
686,10836-1,Neighborhood (Town Square),2017,636,98
687,10837-1,Santa's Winter Holiday,2017,504,45
688,10838-1,Family Pets,2017,636,15
689,10839-1,Shooting Gallery,2017,504,32
690,10840-1,Big Fair,2017,504,106
691,10841-1,Fun Family Fair,2017,504,61
692,10842-1,Batcave Challenge,2017,653,73
693,10843-1,Mickey Racer,2017,641,15
694,10844-1,Minnie Mouse Bow-tique,2017,641,70
695,10845-1,My First Carousel,2017,504,24
696,10846-1,Flo's Café,2017,506,28
697,10847-1,My First Number Train,2017,504,23
698,10848-1,My First Bricks,2017,505,83
699,10849-1,My First Plane,2017,504,10
700,10850-1,My First Cakes,2017,504,8
701,10851-1,My First Bus,2017,504,6
702,10852-1,My First Bird,2017,504,7
703,10853-1,Creative Builder Box,2017,505,78
704,10854-1,Creative Box,2017,505,120
705,10855-1,Cinderella's Magical Castle,2017,640,56
706,10856-1,Mater's Shed,2017,506,23
707,10857-1,Piston Cup Race,2017,506,31
708,10858-1,My First Puzzle Pets,2018,504,18
709,10859-1,My First Ladybug,2018,504,6
710,10860-1,My First Race Car,2018,504,6
711,1086-1,Bulk Bucket,2000,505,48
712,10861-1,My First Emotions,2018,504,28
713,10862-1,My First Celebration,2018,504,41
714,10863-1,My First Animal Brick Box,2018,504,34
715,10864-1,Large Playground Brick Box,2018,504,71
716,10865-1,Fun Creations,2018,504,70
717,10867-1,Farmers' Market,2018,632,26
718,10868-1,Farm Pony Stable,2018,632,59
719,10869-1,Farm Adventures,2018,632,104
720,10870-1,Farm Animals,2018,632,16
